hsq,pcausal,cor,snpset,mode,lower_ci,upper_ci
0.1,0.001,0.9,hm3,0.9,0.882,0.916
0.1,0.001,0.9,imputed,0.904,0.885,0.92
0.1,0.001,0.95,hm3,0.931,0.915,0.9460000000000001
0.1,0.001,0.95,imputed,0.932,0.915,0.9480000000000001
0.1,0.001,1.0,hm3,0.994,0.983,1.0
0.1,0.001,1.0,imputed,1.0,0.989,1.0
0.25,0.001,0.9,hm3,0.89,0.881,0.899
0.25,0.001,0.9,imputed,0.892,0.883,0.902
0.25,0.001,0.95,hm3,0.938,0.931,0.9450000000000001
0.25,0.001,0.95,imputed,0.943,0.935,0.9510000000000001
0.25,0.001,1.0,hm3,0.991,0.985,0.998
0.25,0.001,1.0,imputed,1.0,0.996,1.0
0.5,0.001,0.9,hm3,0.888,0.882,0.894
0.5,0.001,0.9,imputed,0.893,0.887,0.899
0.5,0.001,0.95,hm3,0.943,0.9390000000000001,0.9480000000000001
0.5,0.001,0.95,imputed,0.951,0.9460000000000001,0.9560000000000001
0.5,0.001,1.0,hm3,0.989,0.985,0.994
0.5,0.001,1.0,imputed,1.0,0.998,1.0
